Frequency (Hz),TR1: Gain (dB)
100.0,-0.00358212
104.54953382919845,-0.00768145
109.3060502390271,-0.00282502
114.27896597201217,-0.00570488
119.47812618856706,-0.00502276
124.91382395800832,-0.00588729
130.59682063632332,-0.0076432
136.53836717103047,-0.00579998
142.75022637531168,-0.00930253
149.2446962155137,-0.01033105
156.03463415812294,-0.01170404
163.13348262441278,-0.01143757
170.55529560316,-0.01333272
178.3147664741152,-0.01329637
186.42725709731127,-0.01742809
194.90882822580002,-0.0185233
203.77627130202708,-0.01923703
213.04714170079203,-0.02136284
222.73979348460992,-0.02226108
232.873415740279,-0.0278293
243.46807056859268,-0.02844721
254.54473280240757,-0.03139355
266.1253315316959,-0.03404132
278.2327935177969,-0.0368213
290.8910885828129,-0.04170338
304.12527706401164,-0.04772459
317.96155942718235,-0.049803
332.4273281371686,-0.05850746
347.55122188826965,-0.06257931
363.363182301869,-0.06496928
379.8945132035446,-0.07051309
397.1779425970086,-0.07547016
415.2476874575735,-0.08261177
434.13952147342,-0.09153743
453.8908458687735,-0.09955464
474.5407634492084,-0.11028947
496.13015601566667,-0.11657899
518.7017653004544,-0.126577
542.3002775854482,-0.13733016
566.9724121700347,-0.15075244
592.7670138639329,-0.16407178
619.7351496880019,-0.17660285
647.9302099744913,-0.19255423
677.4080140668766,-0.20844509
708.2269208285505,-0.22776938
740.4479441791359,-0.24522957
774.1348738871701,-0.26364055
809.3544018582896,-0.28970847
846.1762541689393,-0.31433448
884.6733291069994,-0.33920561
924.9218414926185,-0.37056242
967.0014735649694,-0.40080403
1010.9955327336552,-0.43110582
1056.991116507058,-0.46695753
1105.0792849241677,-0.50707852
1155.355240831257,-0.54706977
1207.9185183602924,-0.59365966
1262.8731799822465,-0.63959591
1320.328022525413,-0.68658693
1380.3967925665936,-0.74327814
1443.198411621581,-0.79703027
1508.8572115807597,-0.85869547
1577.5031808559265,-0.92034799
1649.272221725647,-0.99081009
1724.306419388628,-1.06296702
1802.754323257754,-1.13632437
1884.7712410517013,-1.21923229
1970.5195462663519,-1.30201177
2060.1689996347072,-1.3875623
2153.8970852117477,-1.48024658
2251.8893617495755,-1.57534051
2354.339830058493,-1.67648489
2461.451317081298,-1.78112644
2573.435877441162,-1.89279869
2690.515213258078,-2.00093825
2812.921113064982,-2.11860146
2940.8959106925386,-2.23981174
3074.6929650310094,-2.36411604
3214.577161619077,-2.49373124
3360.825437052624,-2.62333026
3513.7273272516395,-2.7578669
3673.5855406707433,-2.89989978
3840.7165575881018,-3.04198473
4015.4512566591984,-3.19039742
4198.135569975883,-3.33398404
4389.131167927549,-3.48688323
4588.8161752203005,-3.64311355
4797.585919471679,-3.79311446
5015.853713862904,-3.95778784
5244.051675398198,-4.12000627
5482.6315803910875,-4.28899857
5732.0657588712975,-4.45435509
5992.848029683048,-4.61838929
6265.4946781259305,-4.78932146
6550.545478073898,-4.96598916
6848.564760595899,-5.13121023
7160.142531193774,-5.29794522
7485.895637869261,-5.47487898
7826.468992332606,-5.6602332
8182.536846770504,-5.83092391
8554.804128700956,-6.0091821
8944.007836557863,-6.19805312
9350.918498768224,-6.3727419
9776.34169921046,-6.54545827
10221.119672074074,-6.73353051
10686.13296927794,-6.92423825
11172.30220374837,-7.10913223
11680.589872008184,-7.28412035
12212.0022596851,-7.47538048
12767.59143371198,-7.66780426
13348.45732516252,-7.85245533
13955.749906846937,-8.04074701
14590.671469977238,-8.21498418
15254.47900441109,-8.40793951
15948.486687184715,-8.59873957
16674.068484263396,-8.78930108
17432.660870658674,-8.99003943
18225.76567429873,-9.16838813
19054.953049281394,-9.35432726
19921.86458439633,-9.54264997
20828.216553070546,-9.73539111
21775.803311171156,-9.94501092
22766.50084939265,-10.11948114
23802.270507260473,-10.32561454
24885.162856105664,-10.50244006
26017.321758695263,-10.68629372
27200.988613558515,-10.87776007
28438.506792408778,-11.07900517
29732.326279448313,-11.27104516
31085.008521739474,-11.4572451
32499.23150024523,-11.64711377
33977.795031578404,-11.85838245
35523.626310955704,-12.02246181
37139.78570733075,-12.21196904
38829.47282217749,-12.43150679
40596.03282392196,-12.60222439
42442.963070558704,-12.77381707
44373.92003356798,-12.99121476
46392.72653683662,-13.19228381
48503.37932491753,-13.38598626
50710.0569756091,-13.55811232
53017.12817252024,-13.7424323
55429.16035399855,-13.9492927
57950.92875554425,-14.11740193
60587.42586361255,-14.32421599
63343.871299518,-14.50852122
66225.72215301364,-14.69488975
69238.68378599582,-14.85044273
72388.7211277316,-15.07341291
75682.07048396171,-15.27437138
79125.25188326737,-14.92518928
82725.0819851351,-13.97646618
86488.68757528097,-15.8569209
90423.51967494813,-15.15288312
94537.3682921118,-12.69515538
98838.37784379536,-15.21522145
103335.0632800296,-16.59939072
108036.3269413784,-16.72830238
112951.47618339962,-15.37111895
118090.24180294265,-15.49477712
123462.79730274952,-14.03698759
129079.77903251282,-15.72296934
134952.30724625158,-15.05048755
141092.00811770363,-13.05687797
147511.036757314,-17.66923783
154222.10127638935,-15.28979799
161238.48794605935,-13.01395123
168574.08750085306,-15.49646119
176243.4226389673,-16.38266885
184261.67677366396,-14.12968154
192644.7240927305,-14.64363628
201409.16098549485,-19.49609828
210572.33889963472,-15.76754956
220152.398692808,-15.18476132
230168.30654712915,-15.02701839
240639.89151758395,-15.40250485
251587.88478872288,-14.62516452
263033.96071735065,-15.12296722
275000.7797424665,-19.63362052
287512.03324741015,-15.58399209
300592.49046301673,-15.65359093
314268.0475046624,-15.38298987
328565.7786402478,-15.2615901
343513.9898906559,-15.81258956
359142.2750687599,-10.00538504
375481.57436796604,-22.31667444
392564.2356162436,-15.92276824
410424.0783169389,-15.34637425
429096.46060314396,-12.66818332
448618.34923817724,-15.26681281
469028.3928007597,-16.6027627
490366.99819977506,-16.60038752
512676.41067009984,-15.52346483
536000.7974078553,-15.73046868
560386.3350107003,-15.52745539
585881.3008962162,-15.60038624
612536.1688794375,-15.63547495
640403.7090986837,-14.64519835
669539.0924875699,-17.05529751
700000.0000000001,-14.89411715
