Frequency (Hz),TR1: Gain (dB)
4797.585919471679,-0.03086715
5015.853713862904,-0.03243701
5244.051675398198,-0.03496796
5482.6315803910875,-0.0361672
5732.0657588712975,-0.03954322
5992.848029683048,-0.04544667
6265.4946781259305,-0.04833898
6550.545478073898,-0.05286858
6848.564760595899,-0.05646783
7160.142531193774,-0.06119194
7485.895637869261,-0.06483362
7826.468992332606,-0.07338391
8182.536846770504,-0.0753995
8554.804128700956,-0.08305082
8944.007836557863,-0.08983947
9350.918498768224,-0.09944163
9776.34169921046,-0.10563137
10221.119672074074,-0.11549058
10686.13296927794,-0.12479331
11172.30220374837,-0.13784899
11680.589872008184,-0.14632595
12212.0022596851,-0.15882866
12767.59143371198,-0.17198246
13348.45732516252,-0.18334253
13955.749906846937,-0.20364442
14590.671469977238,-0.21489914
15254.47900441109,-0.2329293
15948.486687184715,-0.25485402
16674.068484263396,-0.27550628
17432.660870658674,-0.29672574
18225.76567429873,-0.32231207
19054.953049281394,-0.3466132
19921.86458439633,-0.37837907
20828.216553070546,-0.4096388
21775.803311171156,-0.44295321
22766.50084939265,-0.47702897
23802.270507260473,-0.51521288
24885.162856105664,-0.55468266
26017.321758695263,-0.59754856
27200.988613558515,-0.64400393
28438.506792408778,-0.6935801
29732.326279448313,-0.74588477
31085.008521739474,-0.80233067
32499.23150024523,-0.86233956
33977.795031578404,-0.92669087
35523.626310955704,-0.99357339
37139.78570733075,-1.06600002
38829.47282217749,-1.1377992
40596.03282392196,-1.21306854
42442.963070558704,-1.29839082
44373.92003356798,-1.38402632
46392.72653683662,-1.47260348
48503.37932491753,-1.56990717
50710.0569756091,-1.66837469
53017.12817252024,-1.77009392
55429.16035399855,-1.87934238
57950.92875554425,-1.99032955
60587.42586361255,-2.10028281
63343.871299518,-2.22233062
66225.72215301364,-2.34634578
69238.68378599582,-2.47567276
72388.7211277316,-2.60112685
75682.07048396171,-2.73379081
79125.25188326737,-2.86781421
82725.0819851351,-3.0107856
86488.68757528097,-3.15079071
90423.51967494813,-3.29833462
94537.3682921118,-3.44462914
98838.37784379536,-3.59495448
103335.0632800296,-3.74717431
108036.3269413784,-3.90496258
112951.47618339962,-4.0670779
118090.24180294265,-4.22586157
123462.79730274952,-4.39027512
129079.77903251282,-4.55187642
134952.30724625158,-4.72733887
141092.00811770363,-4.88531742
147511.036757314,-5.05076637
154222.10127638935,-5.21665731
161238.48794605935,-5.38905498
168574.08750085306,-5.56471039
176243.4226389673,-5.7327888
184261.67677366396,-5.90619997
192644.7240927305,-6.08013884
201409.16098549485,-6.26084028
