Frequency (Hz),TR1: Gain (dB)
100.0,[-0.02095701]
104.54953382919845,[-0.02088133]
109.3060502390271,[-0.02429096]
114.27896597201217,[-0.02608505]
119.47812618856706,[-0.02808492]
124.91382395800832,[-0.02829672]
130.59682063632332,[-0.03224555]
136.53836717103047,[-0.02930502]
142.75022637531168,[-0.03378533]
149.2446962155137,[-0.03391088]
156.03463415812294,[-0.03704798]
163.13348262441278,[-0.03893754]
170.55529560316,[-0.04033325]
178.3147664741152,[-0.04232124]
186.42725709731127,[-0.0469374]
194.90882822580002,[-0.04940169]
203.77627130202708,[-0.05235585]
213.04714170079203,[-0.06110194]
222.73979348460992,[-0.05785049]
232.873415740279,[-0.0685056]
243.46807056859268,[-0.07317591]
254.54473280240757,[-0.0760219]
266.1253315316959,[-0.08347576]
278.2327935177969,[-0.09213682]
290.8910885828129,[-0.09863586]
304.12527706401164,[-0.1030057]
317.96155942718235,[-0.11212362]
332.4273281371686,[-0.12398294]
347.55122188826965,[-0.12980134]
363.363182301869,[-0.14349676]
379.8945132035446,[-0.14986987]
397.1779425970086,[-0.16550333]
415.2476874575735,[-0.17611074]
434.13952147342,[-0.19287445]
453.8908458687735,[-0.20751971]
474.5407634492084,[-0.23151368]
496.13015601566667,[-0.24962358]
518.7017653004544,[-0.26718965]
542.3002775854482,[-0.29040061]
566.9724121700347,[-0.31547334]
592.7670138639329,[-0.33987327]
619.7351496880019,[-0.37032813]
647.9302099744913,[-0.39975579]
677.4080140668766,[-0.43686277]
708.2269208285505,[-0.46854915]
740.4479441791359,[-0.51269785]
774.1348738871701,[-0.55617531]
809.3544018582896,[-0.59457864]
846.1762541689393,[-0.6462647]
884.6733291069994,[-0.70193016]
924.9218414926185,[-0.75760422]
967.0014735649694,[-0.82109383]
1010.9955327336552,[-0.88558865]
1056.991116507058,[-0.96097453]
1105.0792849241677,[-1.04161535]
1155.355240831257,[-1.12250578]
1207.9185183602924,[-1.21132809]
1262.8731799822465,[-1.30041509]
1320.328022525413,[-1.40672095]
1380.3967925665936,[-1.51324449]
1443.198411621581,[-1.62825984]
1508.8572115807597,[-1.74752447]
1577.5031808559265,[-1.8767111]
1649.272221725647,[-2.01389118]
1724.306419388628,[-2.15744363]
1802.754323257754,[-2.30982671]
1884.7712410517013,[-2.47312192]
1970.5195462663519,[-2.6401592]
2060.1689996347072,[-2.81754027]
2153.8970852117477,[-2.99192935]
2251.8893617495755,[-3.19230964]
2354.339830058493,[-3.39284825]
2461.451317081298,[-3.60244759]
2573.435877441162,[-3.82017498]
2690.515213258078,[-4.05261419]
2812.921113064982,[-4.28800791]
2940.8959106925386,[-4.52354772]
3074.6929650310094,[-4.77544182]
3214.577161619077,[-5.03394544]
3360.825437052624,[-5.29585692]
3513.7273272516395,[-5.57505244]
3673.5855406707433,[-5.84989706]
3840.7165575881018,[-6.13681818]
4015.4512566591984,[-6.42928647]
4198.135569975883,[-6.72039526]
4389.131167927549,[-7.02015548]
4588.8161752203005,[-7.32867967]
4797.585919471679,[-7.64245142]
5015.853713862904,[-7.95988377]
5244.051675398198,[-8.28654662]
5482.6315803910875,[-8.61589966]
5732.0657588712975,[-8.96417541]
5992.848029683048,[-9.29636692]
6265.4946781259305,[-9.6265908]
6550.545478073898,[-9.97442]
6848.564760595899,[-10.31930499]
7160.142531193774,[-10.67565523]
7485.895637869261,[-11.01425983]
7826.468992332606,[-11.36621397]
8182.536846770504,[-11.72426661]
8554.804128700956,[-12.07998429]
8944.007836557863,[-12.43760561]
9350.918498768224,[-12.79631926]
9776.34169921046,[-13.16174244]
10221.119672074074,[-13.52375811]
10686.13296927794,[-13.88208457]
11172.30220374837,[-14.25942942]
11680.589872008184,[-14.6165563]
12212.0022596851,[-14.99973777]
12767.59143371198,[-15.36697471]
13348.45732516252,[-15.75334536]
13955.749906846937,[-16.14141664]
14590.671469977238,[-16.5105509]
15254.47900441109,[-16.88342309]
15948.486687184715,[-17.24629711]
16674.068484263396,[-17.61068563]
17432.660870658674,[-18.00789067]
18225.76567429873,[-18.40314459]
19054.953049281394,[-18.76451616]
19921.86458439633,[-19.12866228]
20828.216553070546,[-19.52444915]
21775.803311171156,[-19.93866897]
22766.50084939265,[-20.28439357]
23802.270507260473,[-20.6484238]
24885.162856105664,[-21.06632024]
26017.321758695263,[-21.43743033]
27200.988613558515,[-21.80662521]
28438.506792408778,[-22.18236033]
29732.326279448313,[-22.55879226]
31085.008521739474,[-22.95723238]
32499.23150024523,[-23.31681494]
33977.795031578404,[-23.72113812]
35523.626310955704,[-24.1386746]
37139.78570733075,[-24.47931667]
38829.47282217749,[-24.85702421]
40596.03282392196,[-25.24893905]
42442.963070558704,[-25.57778062]
44373.92003356798,[-26.02574615]
46392.72653683662,[-26.34988898]
48503.37932491753,[-26.75341313]
50710.0569756091,[-27.08720627]
53017.12817252024,[-27.4763183]
55429.16035399855,[-27.86919456]
57950.92875554425,[-28.21289091]
60587.42586361255,[-28.67945621]
63343.871299518,[-29.01500646]
66225.72215301364,[-29.41921805]
69238.68378599582,[-29.75894206]
72388.7211277316,[-30.10878669]
75682.07048396171,[-30.5132321]
79125.25188326737,[-30.87981145]
82725.0819851351,[-31.32457539]
86488.68757528097,[-31.66630275]
90423.51967494813,[-32.00487548]
94537.3682921118,[-32.38816749]
98838.37784379536,[-32.74978965]
103335.0632800296,[-33.21701913]
108036.3269413784,[-33.57127185]
112951.47618339962,[-33.81380246]
118090.24180294265,[-34.29638836]
123462.79730274952,[-34.7013737]
129079.77903251282,[-35.07844202]
134952.30724625158,[-35.28889657]
141092.00811770363,[-35.90213222]
147511.036757314,[-36.39808645]
154222.10127638935,[-36.53697217]
161238.48794605935,[-37.03095413]
168574.08750085306,[-37.57580684]
176243.4226389673,[-37.74908464]
184261.67677366396,[-38.18349686]
192644.7240927305,[-38.65390127]
201409.16098549485,[-38.96148881]
210572.33889963472,[-39.21470742]
220152.398692808,[-39.79936466]
230168.30654712915,[-39.805989]
240639.89151758395,[-40.43675861]
251587.88478872288,[-40.90773488]
263033.96071735065,[-41.3067076]
275000.7797424665,[-41.37171777]
287512.03324741015,[-42.06043991]
300592.49046301673,[-42.10642421]
314268.0475046624,[-43.09160837]
328565.7786402478,[-43.10699673]
343513.9898906559,[-43.57867712]
359142.2750687599,[-40.08604562]
375481.57436796604,[-43.15647688]
