Frequency (Hz),TR1: Gain (dB)
100.0,[-0.0107644]
104.54953382919845,[-0.00971187]
109.3060502390271,[-0.00794172]
114.27896597201217,[-0.01288659]
119.47812618856706,[-0.00846892]
124.91382395800832,[-0.00822591]
130.59682063632332,[-0.00933542]
136.53836717103047,[-0.00563412]
142.75022637531168,[-0.0080936]
149.2446962155137,[-0.00715815]
156.03463415812294,[-0.00756395]
163.13348262441278,[-0.01122964]
170.55529560316,[-0.0053125]
178.3147664741152,[-0.00820962]
186.42725709731127,[-0.00862724]
194.90882822580002,[-0.00592248]
203.77627130202708,[-0.00910622]
213.04714170079203,[-0.01101274]
222.73979348460992,[-0.0033867]
232.873415740279,[-0.00534284]
243.46807056859268,[-0.01011601]
254.54473280240757,[-0.01087777]
266.1253315316959,[-0.01110896]
278.2327935177969,[-0.00995737]
290.8910885828129,[-0.01041501]
304.12527706401164,[-0.00793661]
317.96155942718235,[-0.008939]
332.4273281371686,[0.00076626]
347.55122188826965,[-0.00982615]
363.363182301869,[-0.0133505]
379.8945132035446,[-0.00514807]
397.1779425970086,[-0.00849988]
415.2476874575735,[-0.00798697]
434.13952147342,[-0.0046561]
453.8908458687735,[-0.00784826]
474.5407634492084,[-0.01333816]
496.13015601566667,[-0.01295123]
518.7017653004544,[-0.0106274]
542.3002775854482,[-0.0121401]
566.9724121700347,[-0.00786535]
592.7670138639329,[-0.00876154]
619.7351496880019,[-0.00961078]
647.9302099744913,[-0.01051522]
677.4080140668766,[-0.01194783]
708.2269208285505,[-0.01154436]
740.4479441791359,[-0.00889833]
774.1348738871701,[-0.01037479]
809.3544018582896,[-0.00946446]
846.1762541689393,[-0.00953102]
884.6733291069994,[-0.01338649]
924.9218414926185,[-0.01058021]
967.0014735649694,[-0.01787351]
1010.9955327336552,[-0.00550799]
1056.991116507058,[-0.01306864]
1105.0792849241677,[-0.01053537]
1155.355240831257,[-0.01122696]
1207.9185183602924,[-0.01124699]
1262.8731799822465,[-0.01132449]
1320.328022525413,[-0.0153759]
1380.3967925665936,[-0.01004153]
1443.198411621581,[-0.01643966]
1508.8572115807597,[-0.01228527]
1577.5031808559265,[-0.01546717]
1649.272221725647,[-0.01628728]
1724.306419388628,[-0.00957387]
1802.754323257754,[-0.0206164]
1884.7712410517013,[-0.01602089]
1970.5195462663519,[-0.01791875]
2060.1689996347072,[-0.02379241]
2153.8970852117477,[-0.01749435]
2251.8893617495755,[-0.0226051]
2354.339830058493,[-0.01589898]
2461.451317081298,[-0.02443473]
2573.435877441162,[-0.02713849]
2690.515213258078,[-0.03271205]
2812.921113064982,[-0.02902618]
2940.8959106925386,[-0.03006802]
3074.6929650310094,[-0.0324991]
3214.577161619077,[-0.03275143]
3360.825437052624,[-0.03624323]
3513.7273272516395,[-0.03660155]
3673.5855406707433,[-0.04492265]
3840.7165575881018,[-0.04739977]
4015.4512566591984,[-0.04635246]
4198.135569975883,[-0.05057541]
4389.131167927549,[-0.05637595]
4588.8161752203005,[-0.05813979]
4797.585919471679,[-0.06267859]
5015.853713862904,[-0.06541809]
5244.051675398198,[-0.06881151]
5482.6315803910875,[-0.07106223]
5732.0657588712975,[-0.08060363]
5992.848029683048,[-0.09194876]
6265.4946781259305,[-0.09671195]
6550.545478073898,[-0.10793829]
6848.564760595899,[-0.11114682]
7160.142531193774,[-0.12350822]
7485.895637869261,[-0.12911847]
7826.468992332606,[-0.14527453]
8182.536846770504,[-0.15114638]
8554.804128700956,[-0.16624608]
8944.007836557863,[-0.18653755]
9350.918498768224,[-0.18896884]
9776.34169921046,[-0.21205192]
10221.119672074074,[-0.23392287]
10686.13296927794,[-0.2499217]
11172.30220374837,[-0.26169206]
11680.589872008184,[-0.28989944]
12212.0022596851,[-0.31818436]
12767.59143371198,[-0.34789159]
13348.45732516252,[-0.37270232]
13955.749906846937,[-0.40784686]
14590.671469977238,[-0.4324914]
15254.47900441109,[-0.46623852]
15948.486687184715,[-0.50984236]
16674.068484263396,[-0.5598363]
17432.660870658674,[-0.59403431]
18225.76567429873,[-0.64428327]
19054.953049281394,[-0.69583603]
19921.86458439633,[-0.75546043]
20828.216553070546,[-0.81677236]
21775.803311171156,[-0.88461632]
22766.50084939265,[-0.95822156]
23802.270507260473,[-1.03134126]
24885.162856105664,[-1.10691526]
26017.321758695263,[-1.19897418]
27200.988613558515,[-1.28999253]
28438.506792408778,[-1.39536542]
29732.326279448313,[-1.50009061]
31085.008521739474,[-1.60945258]
32499.23150024523,[-1.72847229]
33977.795031578404,[-1.85680006]
35523.626310955704,[-1.99117485]
37139.78570733075,[-2.13226872]
38829.47282217749,[-2.27825768]
40596.03282392196,[-2.43332596]
42442.963070558704,[-2.60250013]
44373.92003356798,[-2.7816427]
46392.72653683662,[-2.95910177]
48503.37932491753,[-3.15017182]
50710.0569756091,[-3.34176297]
53017.12817252024,[-3.55514801]
55429.16035399855,[-3.7665345]
57950.92875554425,[-3.98796473]
60587.42586361255,[-4.21263615]
63343.871299518,[-4.45168654]
66225.72215301364,[-4.69505641]
69238.68378599582,[-4.94611399]
72388.7211277316,[-5.19720974]
75682.07048396171,[-5.46658154]
79125.25188326737,[-5.74223346]
82725.0819851351,[-6.02388571]
86488.68757528097,[-6.31170758]
90423.51967494813,[-6.60361251]
94537.3682921118,[-6.89621367]
98838.37784379536,[-7.20049998]
103335.0632800296,[-7.50916685]
108036.3269413784,[-7.81990046]
112951.47618339962,[-8.14469281]
118090.24180294265,[-8.45918145]
123462.79730274952,[-8.78050564]
129079.77903251282,[-9.10632016]
134952.30724625158,[-9.44080928]
141092.00811770363,[-9.77493363]
147511.036757314,[-10.10347702]
154222.10127638935,[-10.45007874]
161238.48794605935,[-10.78021055]
168574.08750085306,[-11.11976884]
176243.4226389673,[-11.47440649]
184261.67677366396,[-11.81981326]
192644.7240927305,[-12.16424782]
201409.16098549485,[-12.51883283]
210572.33889963472,[-12.85255385]
220152.398692808,[-13.21838494]
230168.30654712915,[-13.56223097]
240639.89151758395,[-13.92013266]
251587.88478872288,[-14.27302059]
263033.96071735065,[-14.62210958]
275000.7797424665,[-14.98208227]
287512.03324741015,[-15.33526198]
300592.49046301673,[-15.69642037]
314268.0475046624,[-16.0443188]
328565.7786402478,[-16.38112938]
343513.9898906559,[-16.72151831]
359142.2750687599,[-17.08844779]
375481.57436796604,[-17.44510509]
392564.2356162436,[-17.76794591]
410424.0783169389,[-18.11493487]
429096.46060314396,[-18.43681286]
448618.34923817724,[-18.77454405]
469028.3928007597,[-19.1496991]
490366.99819977506,[-19.46544166]
512676.41067009984,[-19.78946768]
536000.7974078553,[-20.14324255]
560386.3350107003,[-20.48589376]
585881.3008962162,[-20.77903862]
612536.1688794375,[-21.13689591]
640403.7090986837,[-21.44145879]
669539.0924875699,[-21.74648248]
700000.0000000001,[-22.02928713]
